Skill,Category
Industrial Facilities,Construction and Maintenance
Retail Marketing,Business Development
Project Development,Project Management
Energy Solutions,Health and Environment
Retrofit,Construction and Maintenance
SQL,Data Management
HVAC,Construction and Maintenance
Commercial Buildings,Construction and Maintenance
Quotations,Communication and Collaboration
Instrumentation,Technical Skills
Energy Conservation,Health and Environment
Operations,Operational Efficiency
Maintenance,Construction and Maintenance
Labview,Software Tools and Platforms
Project Engineer,Project Management
Takeoffs,Analysis and Research
Sales Activities,Business Development
CSR,Customer Service and Relations
Pricing,Finance and Accounting
Real Time,IT and Software Solutions
Lean/5S,Manufacturing and Engineering
Collection,Finance and Accounting
DasyLab,Software Tools and Platforms
Marketing,Business Development
Fire Protection,Construction and Maintenance
Relationship Building,Communication and Collaboration
Mechanical,Technical Skills
Test Stand Fabrication,Manufacturing and Engineering
SCADA,Technical Skills
Project Planning,Project Management
Estimation,Analysis and Research
Estimating,Analysis and Research
Electrical,Technical Skills
Sales Team,Leadership and Strategy
Networking,Networking and Telecommunications
Hydraulic Testing,Testing and Validation
Proposals,Communication and Collaboration
Front End,Software Development
Sales,Business Development
Retail,Business Development
ROI,Finance and Accounting
Energy Management,Health and Environment
Security,Security and Compliance
Testing,Testing and Validation
Siemens,Other
Solutions,Business Development
Technical Assistance,Customer Service and Relations
